sent_date,league,home,away,market,selection,model_prob,won
2026-09-18,2. Bundesliga,Nordhorn-Lingen,Coburg 2000,total,Over 59.25,0.7001,1
2026-09-18,HLA,Handball Tirol,Barnbach/K.,total,Over 58,0.5409,0
2026-09-18,Starligue,Dunkerque,Chambery Savoie,total,Under 61.25,0.5403,0
2026-09-18,Bundesliga,HBW Balingen-Weilstetten,Stuttgart,total,Over 60.5,0.5893,0
2026-09-18,Proligue,Frontignan,Creteil,total,Over 62.5,0.6502,0
2026-09-18,2. Bundesliga,Ferndorf,Dessauer,total,Over 60.5,0.6559,1
2026-09-18,NB I,Ferencvaros,Veszprem,total,Under 68.5,0.6667,1
2026-09-18,Superleague,Dynamo Sungul,Krasnodar,total,Over 56.75,0.5617,0
2026-09-18,2. Bundesliga,Dormagen,Essen,total,Under 65.5,0.5793,1
2026-09-19,Herre Handbold Ligaen,Ringsted,Mors,hcap,Mors — draw no bet,0.5942,1
2026-09-19,Superleague Women,Krasnodar W,Adyif W,total,Under 58.25,0.5414,0
2026-09-19,Superleague Women,Rostov-Don W,Izhevsk W,total,Under 58.75,0.5793,0
2026-09-19,Superleague Women,Dinamo-Sinara W,Chernomorochka W,total,Under 58.75,0.615,1
2026-09-19,Herre Handbold Ligaen,Ringsted,Mors,match,Mors,0.5398,1
2026-09-20,Herre Handbold Ligaen,Skjern,Skanderborg AGF,hcap,Skanderborg AGF — draw no bet,0.5661,0
2026-09-20,Starligue,Montpellier,Nantes,hcap,Nantes — draw no bet,0.5977,1
2026-09-20,Champions League Women,Bistrita W (Rou),Odense W (Den),hcap,Bistrita W (Rou) — draw no bet,0.5553,1
2026-09-20,Starligue,Montpellier,Nantes,match,Nantes,0.533,1
2026-09-20,Liga ASOBAL,Ademar,Cuenca,match,Ademar,0.6691,0
2026-09-20,Herre Handbold Ligaen,Skjern,Skanderborg AGF,match,Skanderborg AGF,0.4619,0
2026-09-20,Bundesliga,MT Melsungen,SC Magdeburg,match,SC Magdeburg,0.688,0
2026-09-20,Liga ASOBAL,Caserio Ciudad Real,Horneo Alicante,match,Caserio Ciudad Real,0.5673,1
2026-09-21,Superliga,Gwardia Opole,Stal Mielec,total,Under 57,0.5925,1
2026-09-21,Asian Games,Iran,Bahrain,total,Over 52.75,0.6445,1
2026-09-21,Superliga,Gwardia Opole,Stal Mielec,match,Gwardia Opole,0.6261,1
2026-09-21,Superliga,Gwardia Opole,Stal Mielec,hcap,Gwardia Opole +0.5,0.7114,1
2026-09-22,DHB Pokal,Elbflorenz,Hamburg,match,Hamburg,0.7674,1
2026-09-22,DHB Pokal,MT Melsungen,Rhein-Neckar,total,Over 56.25,0.6694,1
2026-09-22,DHB Pokal,MT Melsungen,Rhein-Neckar,match,MT Melsungen,0.6046,0
2026-09-22,DHB Pokal,Elbflorenz,Hamburg,total,Over 64.5,0.5137,0
2026-09-22,Asian Games Women,Hong Kong W,Japan W,total,Under 54.5,0.5024,0
2026-09-22,Asian Games,Iran,South Korea,total,Over 52.75,0.6224,0
2026-09-23,DHB Pokal,HBW Balingen-Weilstetten,Hannover-Burgdorf,match,Hannover-Burgdorf,0.717,0
2026-09-23,HLA,Alpla Hard,Voslauer,match,Voslauer,0.5132,0
2026-09-23,Handbollsligan,Karlskrona,Alingsas,match,Alingsas,0.5612,1
2026-09-23,Handbollsligan,Hallby,Lugi,match,Hallby,0.564,0
2026-09-23,DHB Pokal,Essen,Potsdam,match,Potsdam,0.6217,1
2026-09-23,Handbollsligan,Ystads IF,Skovde,match,Ystads IF,0.652,1
2026-09-23,Handbollsligan,Kristianstad,Hammarby,match,Kristianstad,0.7354,1
2026-09-23,Handbollsligan,Karlskrona,Alingsas,hcap,Alingsas — draw no bet,0.5581,1
2026-09-23,HLA,Alpla Hard,Voslauer,hcap,Voslauer — draw no bet,0.5158,0
2026-09-23,Superliga,Kalisz,Ostrow Wielkopolski,hcap,Kalisz — draw no bet,0.5213,0
2026-09-23,1. Division,Bodo,Charlottenlund,hcap,Bodo — draw no bet,0.5418,1
2026-09-23,Handbollsligan,Helsingborg,Amo HK,match,Helsingborg,0.5009,0
2026-09-23,NM Cup,Follo,Bergen,hcap,Bergen — draw no bet,0.7197,1
2026-09-23,Handbollsligan,Kristianstad,Hammarby,hcap,Kristianstad +0.5,0.7335,1
2026-09-23,Extraliga,Zubri,Brno,hcap,Zubri — draw no bet,0.7709,1
2026-09-23,Superleague,St. Petersburg,Chekhovskiye Medvedi,match,St. Petersburg,0.7387,1
2026-09-23,1. Division,Bodo,Charlottenlund,match,Charlottenlund,0.4979,0
2026-09-23,Allsvenskan,Redbergslids,Drott,total,Under 63.25,0.6682,1
2026-09-23,Superliga,Kalisz,Ostrow Wielkopolski,match,Kalisz,0.4717,0
2026-09-23,NM Cup,Fjellhammer,Elverum,total,Under 60.5,0.5698,1
2026-09-23,DHB Pokal,Bietigheim-Metterzimmern,Minden,total,Over 58.5,0.5758,1
2026-09-23,HLA,Alpla Hard,Voslauer,total,Under 60.5,0.587,0
2026-09-23,Superleague,Kaustik,Perm,total,Under 65.25,0.5888,0
2026-09-23,DHB Pokal,HBW Balingen-Weilstetten,Hannover-Burgdorf,total,Over 59.5,0.6063,1
2026-09-23,NLA,Wacker Thun,Bern,match,Wacker Thun,0.4726,0
2026-09-23,NLA,Kadetten Schaffhausen,Pfadi Winterthur,total,Over 61.5,0.6129,1
2026-09-23,NM Cup,Naerbo,Kolstad,total,Over 60.5,0.6111,1
2026-09-23,Handbollsligan,Hallby,Lugi,total,Over 59.5,0.624,0
2026-09-23,Handbollsligan,Onnereds,Savehof,total,Over 62.5,0.6328,0
2026-09-23,Extraliga,Zubri,Brno,total,Over 57.5,0.636,0
2026-09-23,Handbollsligan,Ystads IF,Skovde,total,Over 59.5,0.6367,1
2026-09-23,DHB Pokal,Coburg 2000,Goppingen,total,Over 58.5,0.6603,1
2026-09-23,Asian Games Women,China W,Japan W,total,Over 54.75,0.6965,1
2026-09-23,Asian Games Women,Uzbekistan W,South Korea W,total,Over 58.5,0.6146,0
2026-09-23,Superleague,Dinamo Astrakhan,Dynamo Sungul,total,Over 58.25,0.6645,0
2026-09-24,DHB Pokal,Stuttgart,Erlangen,total,Over 57.5,0.6304,0
2026-09-24,Olis Deildin,FH Hafnarfjordur,Haukar,hcap,FH Hafnarfjordur — draw no bet,0.6077,0
2026-09-24,Olis Deildin,FH Hafnarfjordur,Haukar,match,FH Hafnarfjordur,0.5346,0
2026-09-24,DHB Pokal,Stuttgart,Erlangen,match,Stuttgart,0.5144,0
2026-09-24,Superleague Women,Zvenigorod W,Togliatti W,total,Under 57.75,0.6166,1
2026-09-24,Olis Deildin,Afturelding,Selfoss,total,Over 61.5,0.576,1
2026-09-24,Superleague,Krasnodar,Saratov,total,Over 62.5,0.5632,1
2026-09-24,Superleague,CSKA Moscow,Stavropol,total,Under 60.75,0.5496,1
2026-09-24,Olis Deildin,FH Hafnarfjordur,Haukar,total,Over 60.5,0.5118,1
2026-09-24,Olis Deildin,Stjarnan,Fram,total,Under 62.5,0.6077,0
2026-09-25,1. Division,Raekker Molle,Lemvig,match,Raekker Molle,0.6098,1
2026-09-25,Starligue,Chambery Savoie,Tremblay,match,Chambery Savoie,0.6959,0
2026-09-25,Liga Nationala,CSM Bucuresti,Timisoara,match,CSM Bucuresti,0.7003,0
2026-09-25,Herre Handbold Ligaen,Holstebro,Kolding,match,Holstebro,0.7043,1
2026-09-25,Proligue,Cherbourg,Frontignan,match,Cherbourg,0.7054,1
2026-09-25,Olis Deildin,Valur,KA,match,Valur,0.7637,0
2026-09-25,HLA,Barnbach/K.,Fuchse,hcap,Fuchse — draw no bet,0.5397,1
2026-09-25,Superleague Women,Krasnodar W,Dinamo-Sinara W,hcap,Krasnodar W — draw no bet,0.5779,0
2026-09-25,Liga ASOBAL,Ademar,Morrazo Cangas,match,Ademar,0.5537,1
2026-09-25,1. Division,Raekker Molle,Lemvig,hcap,Raekker Molle — draw no bet,0.5826,1
2026-09-25,Proligue,Saintes,Besancon,hcap,Besancon — draw no bet,0.5928,0
2026-09-25,Starligue,Chartres,Cesson Rennes-Metropole,hcap,Cesson Rennes-Metropole -0.5,0.5928,0
2026-09-25,Liga ASOBAL,Ademar,Morrazo Cangas,hcap,Ademar — draw no bet,0.6713,1
2026-09-25,Liga Nationala,CSM Bucuresti,Timisoara,hcap,CSM Bucuresti — draw no bet,0.694,0
2026-09-25,Asian Games,Qatar,Japan,hcap,Qatar -0.5,0.7486,1
2026-09-25,Liga Nationala,Steaua Bucuresti,Vaslui,hcap,Vaslui — draw no bet,0.5591,1
2026-09-25,Liga Nationala,Steaua Bucuresti,Vaslui,match,Vaslui,0.4885,1
2026-09-25,Olis Deildin,Vikingur,Thor Akureyri,match,Thor Akureyri,0.6756,0
2026-09-25,HLA,Barnbach/K.,Fuchse,match,Barnbach/K.,0.463,0
2026-09-25,Asian Games,Qatar,Japan,total,Over 56,0.5491,1
2026-09-25,NB I,Ferencvaros,Eger,total,Under 63.5,0.5497,1
2026-09-25,Proligue,Creteil,Sarrebourg,total,Under 60,0.5512,1
2026-09-25,Proligue,Saintes,Besancon,match,Besancon,0.4787,0
2026-09-25,Liga ASOBAL,Ademar,Morrazo Cangas,total,Over 61.5,0.5798,1
2026-09-25,Extraliga,Lovosice,Strakonice,total,Over 63,0.5816,1
2026-09-25,Starligue,Selestat,Montpellier,total,Under 61.75,0.5941,0
2026-09-25,1. Division,Raekker Molle,Lemvig,total,Under 60.25,0.5945,1
2026-09-25,Herre Handbold Ligaen,Bjerringbro/Silkeborg,Skive,total,Over 64.5,0.5565,0
2026-09-25,Liga Nationala,CSM Bucuresti,Timisoara,total,Over 55.25,0.6295,1
2026-09-25,Starligue,Nimes,Dunkerque,total,Over 59.5,0.6384,0
2026-09-25,Starligue,Chartres,Cesson Rennes-Metropole,total,Under 62.75,0.655,1
2026-09-25,Starligue,St. Raphael,Saran,total,Over 62,0.6566,0
2026-09-25,Asian Games Women,Kazakhstan W,Japan W,total,Under 59.5,0.6578,0
2026-09-25,Superleague Women,Krasnodar W,Dinamo-Sinara W,total,Under 56.5,0.658,1
2026-09-25,Asian Games Women,South Korea W,China W,total,Over 56.5,0.662,0
2026-09-25,Starligue,Chartres,Cesson Rennes-Metropole,match,Cesson Rennes-Metropole,0.4536,0
2026-09-25,Proligue,Saintes,Besancon,total,Under 63.5,0.6039,0
2026-09-26,2. Bundesliga,Dessauer,Potsdam,hcap,Potsdam +0.5,0.737,1
2026-09-26,1. Division,Sydhavsoerne,Norddjurs,hcap,Sydhavsoerne — draw no bet,0.7116,1
2026-09-26,NB I,Csurgoi,Gyongyosi,hcap,Csurgoi — draw no bet,0.6622,1
2026-09-26,Handbollsligan,Amo HK,Alingsas,hcap,Amo HK +1.25,0.5507,1
2026-09-26,Handbollsligan,Malmo,Helsingborg,total,Under 65.75,0.6234,1
2026-09-26,1. Division,Sydhavsoerne,Norddjurs,total,Under 63.25,0.6683,1
2026-09-26,Superliga,Piotrkowianin Piotrkow,MMTS Kwidzyn,total,Under 62,0.6528,0
2026-09-26,Liga ASOBAL,Nava,La Rioja,total,Over 59.5,0.6403,1
2026-09-26,Handbollsligan,Amo HK,Alingsas,total,Over 60.5,0.6217,0
2026-09-26,Andebol 1,ABC Braga,Benfica,total,Under 65.5,0.6799,0
2026-09-26,Superliga,Piotrkowianin Piotrkow,MMTS Kwidzyn,hcap,MMTS Kwidzyn — draw no bet,0.7607,1
